Ticket,Nodos,Nodos Cmts,Asunto,Problema,Prioridad,Data zona
230417SQ0001,BA655AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA CONVENCIONAL,Critica,"[BA655AF] Venezuela 550, C1095AAL CABA, Argentina"
230420SQ0000,LP709AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA HUAWEI,Mayor,1352433 - [LP709AF - FTTH] CALLE 12 265}
230420SQ0001,FR502AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA CONVENCIONAL,Critica,"[FR502AF] Paraguay 640, C1057AAH CABA, Argentina"
230420SQ0002,LP854AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA HUAWEI,Critica,"[LP854AF] C. 48 766, La Plata, Provincia de Buenos Aires, Argentina"
230420SQ0003,BA710AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA CONVENCIONAL,Mayor,"[BA710AF] México 1132, C1097AAX CABA, Argentina"
230420SQ0004,LP813AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA HUAWEI,Critica,1420223 - [LP813AF - FTTH] AVENIDA 7 644}
230420SQ0005,LP568AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA HUAWEI,Critica,"[LP568AF] Av. 53 1339, La Plata, Provincia de Buenos Aires, Argentina"
230420SQ0006,FR900AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA CONVENCIONAL,Critica,1377509 - [FR900AF - FTTH] MY ARTURO PEDRO LUISONI 2510}
230421SQ0000,CA35DCF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA CONVENCIONAL,Critica,980907 - [CA35DCF - FTTH] AVENIDA JOSE MARIA MORENO 825}
230421SQ0001,BA542AF,,Solicitud de Conexión de Red FTTH para Edificios,SQ - Armado FTTH - Conexión de Red FTTH ZONA CONVENCIONAL,Mayor,1357041 - [BA542AF - FTTH] BARRIO RIVERA IGUAZU - ACUMAR MUNDO GRUA IVC 1}
230412YE0011,FR508AF,,Pedido de Reforma de Red para Armado de Edificios,YE - Armado FTTH - Reforma Civil,Mayor,1327248 - [FR508AF - FTTH] SUIPACHA 882}
